
2024/05/01 (13:18:35) | ===> btop++ v.1.3.2
2024/05/01 (13:18:35) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/03 (16:41:30) | ===> btop++ v.1.3.2
2024/06/03 (16:41:30) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/04 (13:54:21) | ===> btop++ v.1.3.2
2024/06/04 (13:54:21) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/04 (13:58:10) | ===> btop++ v.1.3.2
2024/06/04 (13:58:10) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/04 (13:59:49) | ===> btop++ v.1.3.2
2024/06/04 (13:59:49) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/04 (14:00:33) | ===> btop++ v.1.3.2
2024/06/04 (14:00:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/04 (14:04:40) | ===> btop++ v.1.3.2
2024/06/04 (14:04:40) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/04 (14:06:54) | ===> btop++ v.1.3.2
2024/06/04 (14:06:54) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/04 (14:07:48) | ===> btop++ v.1.3.2
2024/06/04 (14:07:48) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/04 (14:08:07) | ===> btop++ v.1.3.2
2024/06/04 (14:08:07) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/04 (14:48:37) | ===> btop++ v.1.3.2
2024/06/04 (14:48:37) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (14:11:43) | ===> btop++ v.1.3.2
2024/06/17 (14:11:43) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (14:12:11) | ===> btop++ v.1.3.2
2024/06/17 (14:12:11) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (14:48:10) | ===> btop++ v.1.3.2
2024/06/17 (14:48:10) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (15:00:22) | ===> btop++ v.1.3.2
2024/06/17 (15:00:22) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (15:03:30) | ===> btop++ v.1.3.2
2024/06/17 (15:03:30) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (15:13:04) | ===> btop++ v.1.3.2
2024/06/17 (15:13:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (15:19:10) | ===> btop++ v.1.3.2
2024/06/17 (15:19:10) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (15:22:31) | ===> btop++ v.1.3.2
2024/06/17 (15:22:31) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (15:25:50) | ===> btop++ v.1.3.2
2024/06/17 (15:25:50) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (15:26:52) | ===> btop++ v.1.3.2
2024/06/17 (15:26:52) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (15:27:22) | ===> btop++ v.1.3.2
2024/06/17 (15:27:22) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (15:28:02) | ===> btop++ v.1.3.2
2024/06/17 (15:28:02) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (15:35:39) | ===> btop++ v.1.3.2
2024/06/17 (15:35:39) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (15:36:14) | ===> btop++ v.1.3.2
2024/06/17 (15:36:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (15:37:41) | ===> btop++ v.1.3.2
2024/06/17 (15:37:41) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (15:41:25) | ===> btop++ v.1.3.2
2024/06/17 (15:41:25) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/17 (15:42:01) | ===> btop++ v.1.3.2
2024/06/17 (15:42:01) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/18 (10:06:48) | ===> btop++ v.1.3.2
2024/06/18 (10:06:48) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/25 (16:33:05) | ===> btop++ v.1.3.2
2024/06/25 (16:33:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/26 (15:46:37) | ===> btop++ v.1.3.2
2024/06/26 (15:46:37) | WARNING: Failed to set locale UTF-8 continuing anyway.
